,Player,Career Length,GP,PPG,APG,RPG,FG%,3P%,FT%,PER,Winshares
1581,Andreas Glyniadakis,0,13,1.3,0.1,0.6,47.1,-,50.0,-3.3,-0.2
1582,Mike Gminski,13,938,11.7,1.3,6.9,46.5,12.2,84.3,16.3,55.9
1583,Rudy Gobert,8,611,12.4,1.3,11.7,65.3,0.0,63.8,22.1,86.6
1584,Dan Godfread,1,11,1.2,0.0,0.2,41.7,0.0,75.0,18.5,0.1
1585,Tom Gola,10,698,11.3,4.2,8.0,43.1,-1,76.0,14.2,53.2
1586,Ben Goldfaden,0,2,1.0,0.0,-,0.0,-1,50.0,-,0.0
1587,Anthony Goldwire,10,266,6.3,2.8,1.3,40.7,38.6,79.2,12.7,6.4
1588,Ryan Gomes,8,487,10.1,1.5,4.6,44.5,34.9,79.9,12.5,19.4
1589,Glen Gondrezick,5,435,5.8,1.4,4.5,47.3,14.3,72.4,13.7,15.9
1590,Grant Gondrezick,2,91,5.0,1.3,1.6,43.8,25.0,68.7,11.1,0.8
1591,Drew Gooden,13,790,11.0,1.1,7.1,46.2,25.7,76.0,16.3,43.9
1592,Gail Goodrich,13,1031,18.6,4.7,3.2,45.6,-1,80.7,16.7,76.3
1593,Steve Goodrich,1,21,1.1,0.5,1.2,32.1,33.3,55.6,2.7,-0.2
1594,Archie Goodwin,3,165,6.3,1.2,2.0,42.9,23.6,70.0,11.6,1.1
1595,Brandon Goodwin,3,133,4.7,1.9,1.6,39.0,31.5,73.0,10.6,1.0
1596,Jordan Goodwin,0,2,0.0,0.0,0.5,0.0,0.0,-,-20.4,-0.1
1597,Pop Goodwin,1,79,4.4,0.3,-,26.6,-1,77.5,-,0.4
1598,Aaron Gordon,7,528,13.0,2.5,6.3,46.0,32.3,70.2,15.2,28.8
1599,Ben Gordon,10,744,14.9,2.5,2.5,43.2,40.1,85.7,14.9,33.3
1600,Drew Gordon,0,9,1.9,0.2,2.0,42.1,0.0,50.0,3.7,-0.1
1601,Eric Gordon,13,749,16.4,2.8,2.4,42.8,37.1,81.0,14.2,36.3
1602,Lancaster Gordon,3,201,5.6,1.5,1.3,39.1,27.1,76.7,9.4,-2.7
1603,Paul Gordon,0,4,0.8,0.8,-,0.0,-1,60.0,-,-0.1
1604,Marcin Gortat,11,806,9.9,1.1,7.9,55.1,15.0,68.0,17.1,61.3
1605,Leo Gottlieb,1,84,5.5,0.4,-,28.8,-1,64.5,-,1.8
1606,Andrew Goudelock,4,49,4.0,0.5,0.7,39.3,34.5,87.5,8.6,0.0
1607,Gerald Govan,8,681,7.7,3.2,10.5,40.5,20.8,67.8,10.2,27.0
1608,Bato Govedarica,0,23,3.3,1.0,0.8,31.6,-1,67.6,7.2,0.2
1609,Joe Graboski,13,845,11.0,1.8,8.1,35.2,-1,70.0,13.8,25.3
1610,Ricky Grace,0,3,1.3,0.3,0.3,66.7,-,0.0,10.8,0.0
1611,Calvin Graham,0,8,1.6,0.0,1.3,28.6,-,62.5,2.2,0.0
1612,Devonte' Graham,3,240,12.8,5.0,2.5,37.2,35.7,82.7,13.7,10.1
1613,Greg Graham,4,207,4.5,1.0,1.1,40.7,29.0,77.5,10.6,1.3
1614,Joey Graham,5,377,5.9,0.5,2.8,48.3,30.0,81.5,11.0,7.8
1615,Mal Graham,1,70,4.7,1.1,1.7,39.8,-1,65.7,8.3,0.8
1616,Orlando Graham,0,7,1.1,0.0,1.6,30.0,-,50.0,6.7,0.0
1617,Paul Graham,2,179,8.4,2.0,2.4,44.8,33.9,73.9,13.7,5.7
1618,Stephen Graham,5,239,4.0,0.5,1.8,44.6,30.8,76.6,8.2,1.7
1619,Treveon Graham,3,180,4.2,0.8,2.2,38.3,33.3,69.1,7.6,2.8
1620,Jim Grandholm,0,26,3.0,0.3,1.9,51.7,52.9,47.6,16.5,0.4
1621,Ron Grandison,7,105,2.4,0.6,1.6,40.4,16.7,71.3,9.8,1.2
1622,Danny Granger,9,586,16.8,1.9,4.9,43.4,38.0,84.8,16.9,48.5
1623,Stewart Granger,3,80,4.0,2.2,1.0,41.4,23.5,74.2,8.4,-0.1
1624,Brian Grant,11,756,10.5,1.2,7.4,49.0,21.4,74.6,14.9,54.5
1625,Bud Grant,1,96,2.6,0.9,1.9,31.8,-1,59.0,-,1.1
1626,Gary Grant,12,552,7.9,5.5,2.3,45.0,27.8,77.6,13.4,12.0
1627,Greg Grant,6,274,2.8,2.7,0.9,38.3,28.1,71.0,9.9,1.6
1628,Harvey Grant,10,783,9.9,1.6,4.4,46.9,26.7,70.9,12.7,36.4
1629,Horace Grant,16,1165,11.2,2.2,8.1,50.9,6.3,69.2,16.0,118.2
1630,Jerami Grant,7,555,11.4,1.3,3.9,45.2,34.9,72.3,13.7,28.1
1631,Jerian Grant,4,555,11.4,1.3,3.9,45.2,34.9,72.3,13.7,28.1
1632,Josh Grant,0,53,3.0,0.5,1.7,40.4,27.9,75.9,11.7,0.5
1633,Paul Grant,5,16,1.8,0.2,1.1,44.8,-,37.5,4.0,-0.1
1634,Travis Grant,3,201,13.8,1.0,4.1,52.4,33.3,81.1,18.7,11.6
1635,Donte Grantham,0,3,0.0,0.0,0.0,0.0,0.0,-,-38.1,0.0
1636,Don Grate,0,2,2.0,1.5,-,16.7,-1,100.0,-,0.0
1637,Butch Graves,0,4,1.3,0.3,0.5,33.3,0.0,20.0,-0.8,-0.1
1638,Hassani Gravett,0,8,6.3,2.5,2.6,47.4,42.3,75.0,10.1,0.3
1639,Aaron Gray,6,318,3.4,0.7,3.7,50.9,0.0,56.2,11.5,6.2
1640,Devin Gray,3,27,2.5,0.3,1.4,36.5,-,61.8,11.3,0.1
1641,Ed Gray,1,60,6.2,0.8,1.2,33.9,34.1,81.4,9.6,0.1
1642,Evric Gray,0,5,2.6,0.4,0.6,26.7,25.0,100.0,2.8,-0.1
1643,Gary Gray,0,44,2.4,0.6,0.5,36.6,-1,70.0,5.4,-0.5
1644,Josh Gray,2,7,4.9,2.0,1.7,27.9,23.1,63.6,4.7,-0.3
1645,Leonard Gray,2,224,10.8,2.2,5.2,46.9,-1,73.9,12.7,9.9
1646,Stuart Gray,6,386,2.3,0.4,2.6,44.6,0.0,66.3,8.6,3.3
1647,Sylvester Gray,0,55,8.0,2.1,5.2,42.0,25.0,67.3,11.2,0.7
1648,Wyndol Gray,1,67,5.4,0.7,-,28.3,-1,57.0,-,2.0
1649,Jeff Grayer,9,438,7.4,1.4,3.0,45.7,25.5,66.3,12.0,9.0
1650,Bob Greacen,2,47,2.4,0.9,1.4,37.4,-,60.0,7.9,-0.1
1651,A.C. Green,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
1652,Danny Green,12,823,10.2,2.0,7.9,47.7,13.8,76.5,13.6,46.4
1653,Devin Green,0,27,0.9,0.3,0.9,21.4,0.0,61.9,4.7,-0.1
1654,Draymond Green,9,685,8.7,5.4,6.9,44.1,31.5,71.2,14.9,52.7
1655,Erick Green,1,52,3.1,0.8,0.7,37.7,28.8,85.7,9.3,0.1
1656,Gerald Green,13,658,9.7,0.9,2.5,41.7,36.1,81.8,13.0,18.4
1657,Jalen Green,0,487,7.9,0.9,5.7,47.2,36.6,78.5,13.7,22.6
1658,JaMychal Green,7,487,7.9,0.9,5.7,47.2,36.6,78.5,13.7,22.6
1659,Javonte Green,2,487,7.9,0.9,5.7,47.2,36.6,78.5,13.7,22.6
1660,Jeff Green,14,25,4.9,0.4,3.3,38.8,-1,72.4,9.8,0.4
1661,Johnny Green,13,1057,11.6,1.4,8.6,49.3,-1,55.3,17.1,58.0
1662,Josh Green,1,1057,11.6,1.4,8.6,49.3,-1,55.3,17.1,58.0
1663,Ken Green,0,7,4.4,0.3,3.9,48.1,-,55.6,19.3,0.3
1664,Kenny Green,1,7,4.4,0.3,3.9,48.1,-,55.6,19.3,0.3
1665,Lamar Green,5,411,5.2,0.8,6.2,43.0,-,66.0,10.6,7.4
1666,Litterial Green,6,148,2.9,1.2,0.5,42.0,7.7,66.5,11.6,1.6
1667,Luther Green,3,90,4.3,0.3,3.6,38.3,0.0,50.7,10.5,-0.5
1668,Mike Green,6,459,11.5,1.3,6.9,48.0,8.3,73.2,16.3,27.6
1669,Rickey Green,14,946,9.4,5.5,1.9,46.9,20.7,80.7,15.3,47.2
1670,Sean Green,2,84,4.2,0.5,1.0,38.6,24.6,62.0,9.7,-1.3
1671,Si Green,9,504,9.2,3.3,4.3,38.7,-1,67.6,11.2,11.1
1672,Sidney Green,9,504,9.2,3.3,4.3,38.7,-1,67.6,11.2,11.1
1673,Steve Green,3,205,5.8,0.8,2.4,44.1,0.0,73.0,12.0,3.4
1674,Taurean Green,0,17,1.6,0.6,0.6,28.0,18.2,91.7,7.0,-0.1
1675,Tommie Green,0,59,3.9,2.4,1.2,38.8,-1,76.2,8.3,-0.3
1676,Willie Green,11,731,8.3,1.4,1.8,42.5,34.6,76.5,11.0,12.9
1677,Donté Greene,3,253,6.1,0.7,2.4,40.6,30.4,70.1,10.0,1.5
1678,Orien Greene,5,131,2.5,1.2,1.5,38.7,21.2,64.2,6.1,-0.7
1679,Jerry Greenspan,1,25,4.9,0.4,3.3,38.8,-1,72.4,9.8,0.4
1680,Dave Greenwood,11,823,10.2,2.0,7.9,47.7,13.8,76.5,13.6,46.4
1681,Hal Greer,14,1122,19.2,4.0,5.0,45.2,-1,80.1,15.7,102.7
1682,Lynn Greer,0,41,4.1,1.3,0.7,43.3,34.6,84.4,14.0,0.7
1683,Gary Gregor,5,361,8.9,1.3,6.3,43.6,75.0,72.5,11.7,3.9
1684,Claude Gregory,2,25,5.4,0.6,3.9,45.6,0.0,33.3,12.9,0.0
1685,John Greig,0,9,2.1,0.0,0.7,53.8,-,83.3,19.9,0.1
1686,Norm Grekin,0,1,0.0,0.0,0.0,-,-1,-,-23.5,0.0
1687,Kevin Grevey,9,672,11.0,1.9,2.4,43.7,33.4,81.7,12.9,26.5
1688,Dennis Grey,1,62,8.8,0.8,5.6,41.0,0.0,53.6,8.8,0.6
1689,Adrian Griffin,8,477,4.0,1.4,3.2,43.8,27.8,76.3,11.8,16.3
1690,Blake Griffin,11,724,19.8,4.1,8.2,49.3,32.7,69.6,21.2,79.3
1691,Eddie Griffin,5,303,7.2,0.8,5.8,37.7,31.5,67.1,14.3,10.9
1692,Greg Griffin,0,36,4.0,0.7,2.9,36.1,-1,63.9,6.8,-0.1
1693,Paul Griffin,6,480,5.1,2.3,5.5,50.5,-,69.2,11.9,19.6
1694,Taylor Griffin,0,8,1.3,0.1,0.3,40.0,0.0,50.0,5.2,0.0
1695,Darrell Griffith,10,765,16.2,2.1,3.3,46.3,33.2,70.7,14.6,22.0
1696,Chuck Grigsby,0,7,2.3,1.0,1.6,36.8,-1,25.0,10.2,0.0
1697,Quentin Grimes,0,46,6.0,1.0,2.0,40.4,38.1,68.4,10.7,1.4
1698,Derek Grimm,0,9,1.6,0.0,0.4,28.6,33.3,100.0,7.9,0.0
1699,Woody Grimshaw,0,21,2.9,0.0,-,35.7,-1,47.7,-,0.6
1700,Dick Groat,0,26,11.9,2.7,3.3,36.8,-1,79.0,18.2,2.0
1701,Bob Gross,7,513,8.9,2.9,4.4,51.2,17.9,79.8,14.7,30.7
1702,Mike Grosso,0,25,4.1,0.4,4.9,44.1,-,56.5,10.0,-0.1
1703,Jerry Grote,0,11,1.3,0.4,0.4,54.5,-1,100.0,14.9,0.1
1704,Alex Groza,1,130,22.5,2.4,10.7,47.4,-1,75.6,-,35.9
1705,Dick Grubar,0,2,2.0,0.5,0.0,66.7,-,-,20.2,0.0
1706,Anthony Grundy,0,12,4.3,0.8,1.4,50.0,33.3,64.3,16.6,0.2
1707,Ernie Grunfeld,8,693,7.4,2.0,2.6,47.7,33.7,77.0,12.7,25.0
1708,Gene Guarilia,3,129,3.2,0.3,2.3,37.6,-1,61.1,9.0,1.2
1709,Pétur Guðmundsson,7,-1,-1,-1,-1,-1,-1,-1,-1,-1
1710,Marko Guduric,0,44,3.9,1.0,1.7,39.5,30.1,92.3,8.8,0.1
1711,Richie Guerin,13,848,17.3,5.0,5.0,41.6,-1,78.0,17.3,69.2
1712,Tom Gugliotta,12,763,13.0,2.8,7.3,45.1,28.4,75.7,15.9,40.2
1713,Andrés Guibert,1,22,2.7,0.5,2.8,32.8,0.0,64.0,7.9,-0.2
1714,Jay Guidinger,1,64,1.5,0.3,1.5,40.2,-,60.9,9.9,0.4
1715,Coulby Gunther,2,84,10.6,0.8,-,33.2,-1,64.2,-,8.6
1716,Dave Gunther,0,1,2.0,3.0,3.0,50.0,-1,-,31.6,0.0
1717,Al Guokas,0,57,3.8,1.7,-,31.1,-1,56.0,-,-1.0
1718,Matt Guokas,0,47,1.7,0.2,-,26.9,-1,55.3,-,1.1
1719,Matt Guokas,9,47,1.7,0.2,-,26.9,-1,55.3,-,1.1
1720,Jorge Gutiérrez,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
1721,Kyle Guy,2,53,3.1,0.9,1.0,36.1,30.3,75.0,8.9,0.1
1722,A.J. Guyton,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
1723,Rui Hachimura,2,147,13.0,1.5,5.2,47.7,36.0,77.9,12.9,5.3
1724,Rudy Hackett,1,28,5.5,1.1,3.3,41.1,-,61.9,10.0,0.4
1725,Hamed Haddadi,4,151,2.2,0.3,2.5,46.3,0.0,63.2,13.3,1.6
1726,Jim Hadnot,0,77,17.5,1.8,12.2,46.7,0.0,66.8,18.2,6.2
1727,Scott Haffner,1,50,4.3,1.8,1.1,40.3,13.0,66.7,8.4,-0.1
1728,Cliff Hagan,13,839,17.7,3.2,6.6,45.4,0.0,79.9,19.8,85.3
1729,Glenn Hagan,0,4,1.8,2.0,1.0,42.9,-,100.0,18.1,0.1
1730,Tom Hagan,1,73,4.9,1.8,1.5,41.9,32.8,70.7,10.8,1.1
1731,Ashton Hagans,0,2,0.0,0.0,0.0,-,-,-,-12.4,0.0
1732,Robert Hahn,0,10,1.0,0.1,-,30.8,-1,28.6,-,0.1
1733,Al Hairston,1,42,2.2,1.0,1.0,33.6,-1,60.0,7.2,-0.5
1734,Happy Hairston,10,776,14.8,1.6,10.3,47.8,-1,74.1,16.5,70.0
1735,Lindsay Hairston,0,47,5.8,0.4,3.8,45.6,-1,58.0,14.8,1.0
1736,Malik Hairston,1,62,2.4,0.5,1.2,51.2,16.7,51.4,11.7,0.8
1737,P.J. Hairston,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1738,Marcus Haislip,7,89,3.5,0.2,1.5,43.7,35.0,65.9,10.8,0.5
1739,Chick Halbert,4,303,8.8,1.4,7.9,31.4,-1,63.3,-,21.6
1740,Swede Halbrook,1,143,5.5,0.4,6.6,34.7,-1,59.1,10.1,0.3
1741,Bruce Hale,2,142,9.1,3.0,1.9,33.3,-1,76.3,-,9.2
1742,Hal Hale,0,72,5.0,2.0,2.9,32.6,31.3,67.4,5.6,1.0
1743,Jack Haley,9,341,3.5,0.2,2.7,42.5,0.0,65.5,9.7,2.9
1744,Tyrese Haliburton,1,135,14.3,6.9,3.6,47.3,41.2,84.6,17.4,10.5
1745,Shaler Halimon,4,254,6.2,1.7,3.1,40.0,11.1,64.4,11.8,0.5
1746,Devon Hall,0,11,1.8,1.2,0.6,20.0,23.5,50.0,3.1,-0.2
1747,Donta Hall,1,22,5.1,0.7,4.5,70.2,-,61.5,18.6,1.2
1748,Josh Hall,0,21,4.1,1.3,2.8,30.3,10.8,50.0,1.0,-0.9
1749,Mike Hall,0,2,1.0,0.5,1.0,25.0,-,-,3.1,0.0
1750,Tyler Hall,0,1,0.0,0.0,0.0,-,-,-,0.0,0.0
1751,Jeff Halliburton,1,92,6.1,1.3,1.6,44.0,-1,81.4,13.9,1.4
1752,Darvin Ham,8,417,2.7,0.5,2.3,51.8,25.0,49.4,9.0,5.6
1753,Steve Hamer,0,35,2.2,0.2,1.7,52.6,0.0,55.2,8.9,0.2
1754,Dale Hamilton,0,14,1.8,1.2,-,24.2,-1,47.4,-,-0.3
1755,Daniel Hamilton,1,14,1.8,1.2,-,24.2,-1,47.4,-,-0.3
1756,Dennis Hamilton,3,144,4.6,0.8,3.1,51.1,0.0,77.3,12.2,4.0
1757,Joe Hamilton,5,344,12.0,3.5,2.6,40.8,31.2,80.7,13.3,12.4
1758,Jordan Hamilton,4,344,12.0,3.5,2.6,40.8,31.2,80.7,13.3,12.4
1759,Justin Hamilton,3,113,6.1,0.8,3.6,46.4,30.9,79.8,13.9,3.7
1760,Ralph Hamilton,0,48,6.0,1.7,-,25.5,-1,67.0,-,-1.4
1761,Richard Hamilton,13,921,17.1,3.4,3.1,44.9,34.6,85.2,16.5,62.8
1762,Roy Hamilton,1,73,4.6,2.6,1.5,40.0,0.0,68.4,9.1,-0.4
1763,Steve Hamilton,1,82,4.5,0.5,3.4,37.2,-1,69.7,9.3,0.9
1764,Tang Hamilton,0,9,2.2,0.6,2.0,52.6,0.0,0.0,10.9,0.2
1765,Thomas Hamilton,4,33,3.2,0.5,3.4,40.0,-,46.3,9.9,-0.3
1766,Zendon Hamilton,5,134,4.4,0.2,3.5,44.0,-,66.0,14.0,3.0
1767,Geert Hammink,2,8,1.8,0.3,0.9,40.0,-,66.7,14.0,0.1
1768,Julian Hammond,4,329,10.8,1.3,6.2,51.4,0.0,69.1,16.3,24.8
1769,Tom Hammonds,11,687,5.3,0.6,3.3,48.0,0.0,69.1,11.0,14.7
1770,A.J. Hammons,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
1771,Joe Hamood,0,76,9.9,3.0,2.9,33.5,20.5,73.8,10.1,0.3
1772,R.J. Hampton,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1773,Darrin Hancock,2,133,3.5,0.7,1.3,53.0,33.3,57.9,10.5,1.1
1774,Ben Handlogten,1,38,4.3,0.5,3.2,52.3,0.0,61.4,12.8,0.9
1775,Cecil Hankins,1,80,4.9,0.3,-,27.6,-1,61.6,-,3.4
1776,Phil Hankinson,1,31,3.9,0.2,1.8,49.1,-1,76.9,18.0,0.6
1777,Dusty Hannahs,1,4,5.0,1.3,0.5,33.3,25.0,100.0,10.1,0.0
1778,Alex Hannum,7,516,6.0,1.7,4.5,35.4,-1,62.9,9.3,13.1
1779,Don Hanrahan,0,18,1.8,0.6,1.7,34.4,-1,73.3,14.0,0.2
1780,Rollen Hans,1,80,7.0,2.6,2.2,38.0,-1,55.6,10.4,0.6
1781,Ben Hansbrough,0,28,2.0,0.8,0.6,33.3,26.1,77.8,7.2,0.2
1782,Tyler Hansbrough,6,428,6.7,0.4,4.2,43.9,13.6,73.8,14.8,20.2
1783,Bob Hansen,8,575,6.9,1.6,2.2,46.8,32.3,66.2,10.0,15.4
1784,Glenn Hansen,2,112,5.3,0.8,2.2,41.2,-1,72.5,11.7,1.0
1785,Lars Hansen,0,15,5.1,0.9,3.9,50.9,-1,58.1,13.6,0.6
1786,Travis Hansen,0,41,3.0,0.5,1.7,35.4,30.0,81.5,7.2,0.2
1787,Reggie Hanson,0,8,0.8,0.1,0.8,50.0,-,-,6.9,0.0
1788,Bill Hanzlik,9,748,7.2,2.8,2.8,43.4,21.3,78.1,11.2,24.7
1789,Luke Harangody,1,70,3.6,0.5,2.8,37.6,24.1,73.7,10.2,0.9
1790,Anfernee Hardaway,14,704,15.2,5.0,4.5,45.8,31.6,77.4,17.4,61.9
1791,Tim Hardaway,13,867,17.7,8.2,3.3,43.1,35.5,78.2,18.6,85.0
1792,Tim Hardaway Jr.,8,867,17.7,8.2,3.3,43.1,35.5,78.2,18.6,85.0
1793,James Harden,12,942,24.9,6.8,5.6,44.2,36.1,86.0,24.5,149.6
1794,Reggie Harding,4,230,9.5,1.7,9.6,41.9,0.0,60.2,12.9,7.3
1795,Charlie Hardnett,2,164,7.3,0.6,5.7,42.3,-1,64.7,15.4,3.0
1796,Alan Hardy,1,60,3.2,0.4,0.9,43.1,0.0,64.1,9.7,0.0
1797,Darrell Hardy,0,17,5.2,0.5,3.3,43.2,0.0,71.4,19.3,0.5
1798,James Hardy,3,249,5.7,1.3,5.3,48.1,33.3,70.0,11.4,6.3
1799,Ira Harge,5,427,10.3,1.7,11.6,45.0,33.3,66.1,12.5,16.3
1800,John Hargis,1,89,8.6,1.4,2.3,40.0,-1,70.2,-,9.1
1801,Maurice Harkless,9,621,6.9,0.9,3.5,47.4,32.0,62.4,11.7,23.0
1802,Jerry Harkness,5,86,7.2,1.8,2.7,44.0,20.0,66.5,13.8,3.4
1803,Skip Harlicka,0,26,4.1,1.4,0.6,45.6,-1,77.4,14.8,0.5
1804,Jerome Harmon,0,10,4.6,1.2,2.3,39.6,100.0,50.0,10.1,0.0
1805,Derek Harper,15,1199,13.3,5.5,2.4,46.3,35.4,74.5,16.0,86.8
1806,Jared Harper,2,16,2.6,0.9,0.3,44.1,33.3,87.5,20.5,0.2
1807,Justin Harper,5,22,2.0,0.2,0.8,34.0,27.6,33.3,3.6,-0.3
1808,Mike Harper,1,123,5.0,0.6,3.5,47.4,0.0,55.9,11.3,2.4
1809,Ron Harper,14,1009,13.8,3.9,4.3,44.6,28.9,72.0,15.6,65.8
1810,Matt Harpring,10,665,11.5,1.4,5.1,48.1,33.3,75.3,15.3,41.9
1811,Montrezl Harrell,6,458,12.9,1.4,5.3,62.0,11.7,66.2,22.6,40.7
1812,Josh Harrellson,2,75,3.5,0.3,3.0,43.8,34.7,62.9,13.4,2.1
1813,Adam Harrington,0,19,1.6,0.6,0.4,29.7,35.7,75.0,7.4,0.0
1814,Al Harrington,15,981,13.5,1.7,5.6,44.4,35.2,72.7,14.3,42.5
1815,Junior Harrington,4,140,5.2,3.1,2.7,37.1,27.4,68.9,7.1,-0.9
1816,Othella Harrington,11,709,7.4,0.6,4.4,50.5,0.0,73.8,12.5,23.1
1817,Art Harris,3,238,9.1,2.7,2.4,39.6,-1,62.6,9.4,-1.7
1818,Bernie Harris,0,11,0.5,0.1,0.7,18.2,-1,50.0,3.6,-0.1
1819,Billy Harris,0,76,8.0,1.5,1.6,39.8,21.9,67.7,10.5,-0.4
1820,Bob Harris,4,325,6.8,1.5,6.9,38.5,-1,62.8,12.6,15.7
1821,Chris Harris,0,41,2.5,1.1,1.1,24.8,-1,60.0,3.7,-0.8
1822,Devin Harris,14,985,10.8,3.9,2.2,43.2,32.5,79.6,16.0,54.9
1823,Elias Harris,0,2,0.0,0.5,0.5,0.0,-,-,7.6,0.0
1824,Gary Harris,7,468,11.8,2.1,2.5,44.8,36.3,81.2,12.5,20.8
1825,Jalen Harris,0,13,7.4,1.3,1.4,50.0,47.2,77.8,15.2,0.3
1826,Joe Harris,7,414,11.1,1.6,3.2,48.3,43.9,78.0,12.5,20.5
1827,Lucious Harris,11,800,7.2,1.4,2.3,42.6,34.8,79.0,12.8,28.7
1828,Manny Harris,6,93,6.2,1.4,2.7,38.0,35.3,73.8,10.7,0.1
1829,Mike Harris,6,54,3.4,0.2,2.1,46.4,0.0,78.2,14.4,1.0
1830,Steve Harris,4,207,7.0,1.1,1.8,43.4,5.0,84.2,13.3,3.1
1831,Terrel Harris,1,42,2.3,0.8,1.8,30.0,17.0,67.7,3.5,-0.6
1832,Tobias Harris,10,14,4.9,0.6,0.8,29.1,25.0,86.8,9.7,0.0
1833,Tony Harris,4,14,4.9,0.6,0.8,29.1,25.0,86.8,9.7,0.0
1834,Aaron Harrison,2,35,2.3,0.5,1.2,26.1,21.8,61.3,4.5,-0.1
1835,Andrew Harrison,2,145,7.0,2.8,2.0,37.3,29.4,77.9,10.3,3.2
1836,Bob Harrison,8,325,6.8,1.5,6.9,38.5,-1,62.8,12.6,15.7
1837,David Harrison,3,189,5.0,0.2,2.9,53.0,-,52.5,10.9,3.2
1838,Shaquille Harrison,4,175,5.2,1.5,2.4,43.6,28.0,71.7,13.1,3.9
1839,Jason Hart,9,341,4.8,2.3,1.7,41.7,31.5,78.8,12.2,8.6
1840,Josh Hart,4,296,9.9,2.1,5.7,45.0,34.7,73.9,12.4,15.7
1841,Isaiah Hartenstein,3,165,5.8,1.5,3.9,60.0,38.3,68.2,19.4,8.5
1842,Antonio Harvey,9,187,3.0,0.3,2.3,40.7,33.3,51.1,9.7,0.3
1843,Donnell Harvey,4,205,5.6,0.8,4.0,46.0,10.0,65.9,12.5,4.7
1844,Scott Haskin,0,27,2.0,0.2,2.0,46.7,-,68.4,11.3,0.3
1845,Clem Haskins,8,681,12.8,3.5,3.1,44.9,-1,79.2,15.2,35.8
1846,Udonis Haslem,18,872,7.5,0.8,6.6,48.9,9.7,75.6,12.9,50.9
1847,Trenton Hassell,8,644,5.8,1.8,2.8,44.5,31.8,76.5,8.4,13.8
1848,Billy Hassett,1,91,4.5,2.0,1.1,27.9,-1,65.6,-,1.6
1849,Joe Hassett,5,292,5.9,1.3,1.1,42.1,33.6,86.1,12.9,6.4
1850,Scott Hastings,10,578,2.8,0.5,2.2,44.1,29.2,81.1,9.2,9.8
1851,Kirk Haston,1,27,1.2,0.3,1.0,23.2,0.0,50.0,-1.5,-0.5
1852,Vern Hatton,3,225,5.5,1.4,2.4,34.4,-1,73.5,8.5,0.2
1853,Sam Hauser,0,26,2.5,0.4,1.1,46.0,43.2,-,14.8,0.6
1854,John Havlicek,15,1270,20.8,4.8,6.3,43.9,-1,81.5,17.5,131.7
1855,Spencer Hawes,9,684,8.7,1.9,5.7,45.7,35.0,71.6,14.0,22.6
1856,Steve Hawes,9,688,8.4,1.9,6.2,48.3,29.8,79.0,14.3,37.1
1857,Bubbles Hawkins,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
1858,Connie Hawkins,8,616,18.7,4.1,8.8,47.9,16.1,77.9,19.9,76.7
1859,Hersey Hawkins,12,983,14.7,2.9,3.6,46.1,39.4,87.0,16.3,90.6
1860,Juaquin Hawkins,0,58,2.3,0.8,1.3,38.5,41.7,50.0,7.3,0.4
1861,Marshall Hawkins,0,39,3.9,1.3,-,28.2,-1,68.9,-,-0.1
1862,Michael Hawkins,4,75,1.8,1.6,0.9,37.7,30.5,80.0,8.6,0.2
1863,Tom Hawkins,9,764,8.7,1.1,6.0,44.7,-1,57.0,10.7,24.1
1864,Nate Hawthorne,2,162,5.4,0.7,2.1,42.1,-1,66.0,12.3,1.7
1865,Chuck Hayes,10,644,3.7,1.2,5.0,49.8,0.0,62.0,12.2,28.8
1866,Elvin Hayes,15,1303,21.0,1.8,12.5,45.2,14.7,67.0,17.7,120.8
1867,Jarvis Hayes,6,427,8.3,1.1,3.1,41.5,35.6,79.8,10.8,10.2
1868,Jaxson Hayes,2,427,8.3,1.1,3.1,41.5,35.6,79.8,10.8,10.2
1869,Jim Hayes,0,47,3.1,1.0,1.0,42.2,-,77.6,6.0,0.6
1870,Killian Hayes,1,92,6.8,4.5,3.0,37.4,26.8,78.0,8.2,-0.6
1871,Nigel Hayes,0,9,3.0,0.7,2.4,33.3,25.0,33.3,6.4,-0.1
1872,Steve Hayes,4,212,2.6,0.4,2.5,48.2,0.0,50.0,8.4,2.9
1873,Gordon Hayward,11,734,15.6,3.5,4.5,45.3,37.1,82.6,17.4,60.1
1874,Lazar Hayward,2,72,2.9,0.5,1.3,34.7,26.9,76.7,9.0,0.2
1875,Brendan Haywood,13,816,6.8,0.5,6.0,52.8,0.0,58.7,14.6,43.8
1876,Spencer Haywood,13,844,20.3,1.8,10.3,46.9,5.3,79.6,19.1,78.5
1877,John Hazen,0,6,3.0,0.5,-,35.3,-1,85.7,-,0.2
1878,Walt Hazzard,9,-1,-1,-1,-1,-1,-1,-1,-1,-1
1879,Luther Head,5,348,8.2,2.1,2.4,42.3,38.8,77.3,12.3,14.7
1880,Shane Heal,7,49,2.0,0.8,0.4,27.3,28.9,70.0,5.0,-0.4
